district_id,province_id,name
5716,57,Mae Lao
5717,57,Wiang Chiang Rung
5718,57,Doi Luang
5801,58,Mueang Mae Hong Son
5802,58,Khun Yuam
5803,58,Pai
5804,58,Mae Sariang
5805,58,Mae La Noi
5806,58,Sop Moei
5807,58,Pang Mapha
6001,60,Mueang Nakhon Sawan
6002,60,Krok Phra
6003,60,Chum Saeng
6004,60,Nong Bua
6005,60,Banphot Phisai
6006,60,Kao Liao
6007,60,Takhli
6008,60,Tha Tako
6009,60,Phaisali
6010,60,Phayuha Hkiri
6011,60,Lat Yao
6012,60,Tak Fa
6013,60,Mae Wong
6014,60,Mae Pern
6015,60,Chum Ta Bong
6101,61,Mueang Uthai Thani
6102,61,Thap Than
6103,61,Sawang Arom
6104,61,Nong Chang
6105,61,Nong Khayang
6106,61,Ban Rai
6107,61,Lan Sak
6108,61,Huai Khot
6201,62,Mueang Kamphaeng Phet
6202,62,Sai Ngam
6203,62,Khlong Lan
6204,62,Khanu Woralaksaburi
6205,62,Khlong Khlung
6206,62,Phran Kratai
6207,62,Lan Krabue
6208,62,Sai Thong Watthana
6209,62,Pang Sila Thong
6210,62,Bueng Samakkhi
6211,62,Kosamphi Nakhon
6301,63,Mueang Tak
6302,63,Ban Tak
6303,63,Sam Ngao
6304,63,Mae Ramat
6305,63,Tha Song Yang
6306,63,Mae Sot
6307,63,Phop Phra
6308,63,Um Phang
6309,63,Wang Chao
6401,64,Mueang Sukhothai
6402,64,Ban Dan Lan Hoi
6403,64,Khiri Mat
6404,64,Kong Krailat
6405,64,Si Satchanalai
6406,64,Si Samrong
6407,64,Sawankhalok
6408,64,Si Nakhon
6409,64,Thung Saliam
6501,65,Mueang Phitsanulok
6502,65,Nakhon Thai
6503,65,Chat Trakan
6504,65,Bang Rakam
6505,65,Bang Krathum
6506,65,Phrom Phiram
6507,65,Wat Bot
6508,65,Wang Thong
6509,65,Noen Maprang
6601,66,Mueang Phichit
6602,66,Wang Sai Phun
6603,66,Pho Prathap Chang
6604,66,Taphan Hin
6605,66,Bang Mun Nak
6606,66,Pho Thale
6607,66,Sam Ngam
6608,66,Tap Khlo
6609,66,Sak Lek
6610,66,Bueng Na Rang
6611,66,Dong Charoen
6612,66,Wachirabarami
6701,67,Mueang Phetchabun
6702,67,Chon Daen
6703,67,Lom Sak
6704,67,Lom Kao
6705,67,Wichian Buri
6706,67,Si Thep
6707,67,Nong Phai
6708,67,Bueng Sam Phan
6709,67,Nam Nao
6710,67,Wang Pong
6711,67,Khao kho
7001,70,Mueang Ratchaburi
7002,70,Chom Bueng
7003,70,Suan Phueng
7004,70,Damnoen Saduak
7005,70,Ban Pong
7006,70,Bang Phae
7007,70,Photharam
7008,70,Pak Tho
7009,70,Wat Phleng
7010,70,Ban Kha
7101,71,Mueang Kanchanaburi
7102,71,Sai Yok
7103,71,Bo Phloi
7104,71,Si Sawat
7105,71,Tha Maka
7106,71,Tha Muang
7107,71,Thong Pha Phum
7108,71,Sangkhla Buri
7109,71,Phanom Thuan
7110,71,Lao Khwan
7111,71,Dan Makham Tia
7112,71,Nong Prue
7113,71,Huai Krachao
7201,72,Mueang Saphan Buri
7202,72,Doem Bang Nang Buat
7203,72,Dan Chang
7204,72,Bang Pla Ma
7205,72,Si Prachan
7206,72,Don Chedi
7207,72,Song Phi Nong
7208,72,Sam Chuk
7209,72,U Thong
7210,72,Nong Ya Sai
7301,73,mueang Nakhon Pathom
7302,73,Kamphaeng Saen
7303,73,Nakhon Chai Si
7304,73,Don Tum
7305,73,Bang Len
7306,73,Sam Phran
7307,73,Phutthamonthon
7401,74,Mueang Samut Sakhon
7402,74,Krathum Baen
7403,74,Ban Phaeo
7501,75,Mueang Samut Songkhram
7502,75,Bang Khonthi
7503,75,Amphawa
7601,76,Mueang Phetchaburi
7602,76,Khao Yoi
7603,76,Nong Ya Plong
7604,76,Cha-am
7605,76,Tha Yang
7606,76,Ban Lat
7607,76,Ban Laem
7608,76,Kaeng Krachan
7701,77,Mueang Prachuap Khiri Khan
7702,77,Kui Buri
7703,77,Thap Sakae
7704,77,Bang Saphan
7705,77,Bang Saphan Noi
7706,77,Pran Buri
7707,77,Hua Hin
7708,77,Sam Roi Yot
8001,80,Mueang Nakhon Si Thammarat
8002,80,Phrom Khiri
8003,80,Lan Saka
8004,80,Chawang
8005,80,Phipun
8006,80,Chian Yai
8007,80,Cha-uat
8008,80,Tha Sala
8009,80,Thung Song
8010,80,Na Bon
